company,city,state,industry,employees,intent topics,description,acct #
Duratech Industries Inc.,La Crosse,Wisconsin,Business Services,246,App Analytics Companies; Amazon Web Services (AWS); Environmental Regulations; Advanced Threat Protection (ATP),"DuraTech Industries were established in 1977 in Galesville, WI. It is a fast paced, growing industrial printing company that provides decorative and functional identification products to Fortune 500 companies. DuraTech Industries serves the product identification needs of OEMs, including product identification labels, in the automotive, computer, electronic and medical fields. Its diverse portfolio of products and services allows to provide complimentary components in a custom package. The company is headquartered in Wisconsin.",23367635
E+E Elektronik Corp.,Engerwitzdorf,Upper Austria,Manufacturing,342,,"E+E Elektronik is an Austrian developer and manufacturer of high-precision sensors, handheld measuring devices, and data loggers, specializing in humidity, temperature, pressure, and flow measurement. Their advanced products are designed to optimize production processes, reduce downtime, and ensure reliable long-term performance across various industries including HVAC, agriculture, and pharmaceuticals. With over 40 years of experience, E+E Elektronik provides accredited sensor calibration and efficient global service through local branches. The company is committed to high-quality standards and continuous innovation, serving clients in more than 65 countries.",347929449
Easter Seals ARC of Northeast Indiana,,,,,,,
Echo Inc.,Lake Zurich,Illinois,Manufacturing,1750,Environmental Regulations; Generative AI; Data Center Migration; Autonomous Intelligence and Agentic AI; Fraud Protection; Dropbox,"For the past 40 years, ECHO Incorporated has been a worldwide leader in the development and manufacture of professional-grade, hand-held outdoor power equipment for both the commercial and homeowner markets. Today it sells its products in North America through ten distributors managing 6,600 independent dealers. ECHO products can be found in Home Depot stores in the U.S., Canada, Mexico and Puerto Rico, while an additional 24 Latin American distributors sell ECHO products through a variety of store channels. The company prides itself on setting the industry standard with its dedication to new technology, quality products and its strong distribution infrastructure. From establishing technological advancements in premium tools for landscaping and arborist professionals, to expanding its capabilities to meet industrial and consumer demand, ECHO has a heritage rich of accomplishments.",36655733
Edgerton Hospital and Health Services,Edgerton,Wisconsin,Hospitals & Physicians Clinics,167,,"Edgerton Hospital is a local, independent health system that provides a comprehensive range of healthcare services including acute care, emergency care, rehabilitation, and specialty services. The hospital operates multiple clinics and urgent care facilities, offering services such as cardiac rehabilitation, mental health support, and telemedicine. Their intended clients include individuals seeking various medical treatments, from primary care to specialized services. Edgerton Hospital is committed to community health and wellness, providing resources and support for patients and their families.",52598422
Electronics Research Inc.,Chandler,Indiana,Manufacturing,150,,"Founded in 1943, Electronics Research Inc designs, develops, manufactures and offers broadcasting products and services. The company provides its products including antennas, transmission lines, towers, filter combiners and broadcasting services to the broadcasting industry. The company is headquartered in Chandler, Indiana.",28247598
Elite Labor Services Ltd.,,,,,,,
Elite Staffing Inc.,Chicago,Illinois,Business Services,2500,Enterprise Contact Center; Application Performance; Fraud Protection; Environmental Regulations; Generative AI; Autonomous Intelligence and Agentic AI; Enterprise Infrastructure,"Elite Staffing provides staffing services and temporary employment opportunities for a wide range of clients, from business owners in search of employees, to candidates in search of employment. Elite Staffing is headquartered in Chicago, Illinois.",40015972
Elwood Staffing Services Inc.,Columbus,Indiana,Business Services,1000,Enterprise Contact Center; Cloud Backup & Recovery; App Analytics Companies; Digital Transformation; Generative AI; Amazon Web Services (AWS); Environmental Regulations; Capacity Planning; Energy Storage; Databases; Autonomous Intelligence and Agentic AI; Fraud Protection; Enterprise Infrastructure; File Servers; Big Data Software,"Founded in 1980, Elwood Staffing®, a privately owned corporation, is a leading provider of talent-based solutions and actionable workforce intelligence. With offices that span the United States, a broad service portfolio, and a seasoned staff, we support companies through the entire employment life cyclefrom attraction to retention.",17909189
Engine & Transmission Exchange Inc.,Waukesha,Wisconsin,Consumer Services,56,,"Engine & Transmission Exchange is a trusted automotive service provider based in Wisconsin, specializing in complete automotive and truck services since 1985. Their certified technicians utilize the latest tools and equipment to offer a range of services, including routine maintenance, transmission repair, and full engine repairs. The company prides itself on delivering quality service at fair prices, catering to drivers in the Milwaukee and Waukesha areas. With a commitment to customer satisfaction, they have built a reputation for professionalism and reliability in the automotive repair industry.",411875548
Englewood Marketing Group,Green Bay,Wisconsin,Transportation,150,Fraud Protection; Advanced Analytics; Artificial Intelligence; Cloud Computing; Dropbox,"Englewood Marketing Group (EMG) is a national distribution, marketing, and logistics solutions provider specializing in category-leading kitchen, home, and personal care products. The company partners with both world-class and emerging brands to deliver quality and value through innovative product solutions. EMG offers a range of services including logistics solutions, global sales, direct-to-consumer options, and inventory management innovations. Their commitment to excellence ensures that they meet the diverse needs of their clients.",354064814
Enkei America Inc.,Columbus,Indiana,Manufacturing,646,Amazon Web Services (AWS),"Enkei America Inc is a company that operates in the Automotive Parts industry. It employs 500to999 people and has 50Mto100M of revenue. The company is headquartered in Columbus, Indiana.",397692888
Enlivant,Chicago,Illinois,Healthcare Services,7000,,"Enlivant, founded in 1981 and headquartered in Chicago, Illinois, owns and operates senior assisted living and respite care communities.",358888558
Eon Group,,,,,,,
Evans Transportation Services Inc.,Delafield,Wisconsin,Transportation,100,Generative AI,"Evans is a full-service, third-party provider of custom logistics solutions for North American shippers headquartered in Brookfield, WI. The company provides full truckload, less-than truckload, transpiration management, parcel contracts and more.",351425601
Evergreen Retirement Community Inc.,Oshkosh,Wisconsin,Healthcare Services,299,Big Data Software,"Evergreen is a Christian non-profit Life Plan Community serving older adults ages 55 and better. Located in a pleasant residential neighborhood in Oshkosh, Wisconsin, Evergreen offers many options to meet unique needs. Their 35-acre campus features beautiful, natural surroundings and is bordered by the Oak Savanna Woodlands. It is home to almost 250 residents, and is also a destination for families, community members, volunteers, non-profit groups and other visitors.",42535426
Executive Management Services of Indiana Inc.,Greenfield,Indiana,Business Services,4000,Databases; Artificial Intelligence,"Established in 1989 and headquartered in Greenfield, Indiana, Executive Management Services (EMS) specializes in commercial, educational, manufacturing and medical cleaning solutions, and also offers security, maintenance, and exterior care services.",347760622
ExteNet Systems Inc.,Lisle,Illinois,Telecommunications,170,Digital Transformation; Application Performance; Database Solutions; Autonomous Intelligence and Agentic AI,"Over two decades, we have become the nations premier privately held provider of communications infrastructure and services addressing outdoor and in-building wireless, fiber and other advanced connectivity needs.",98207942
F S Bancorp,Lagrange,Indiana,Business Services,3,,"F S Bancorp is a company that operates in the Information & Document Management industry. It employs 1to4 people and has under500K of revenue. The company is headquartered in Lagrange, Indiana.",1265691918
Fabricators and Manufacturers Association,Elgin,Illinois,Education,1818,,"Founded in 1970, Fabricators & Manufacturers Association is a professional services company that offers training and education services for people in the fabrication and metal processing industries. They are based in Elgin, Illinois.",98682213
Fair Oaks Farms L.L.C.,Pleasant Prairie,Wisconsin,Manufacturing,299,Environmental Regulations,"Fair Oaks Foods is a company that operates in the Food & Beverages industry. It employs 6-10 people and has $1M-$5M of revenue. The company is headquartered in Pleasant Prairie, Wisconsin.",43339070
Fairfield Memorial Hospital Association,Fairfield,Illinois,Hospitals & Physicians Clinics,370,Fraud Protection,"Fairfield Memorial Hospital is dedicated to providing excellence in healthcare to the communities in Southeastern Illinois, focusing on community health education, wellness, and preventive medicine. The hospital offers a range of services including pain management and senior life solutions, aimed at enhancing the quality of life for its patients. As a leading employer in the region, it prides itself on its skilled staff who deliver quality care. The intended clients include local residents seeking comprehensive healthcare services and support.",22234938
Family Development Services Inc.,Indianapolis,Indiana,Consumer Services,380,,"Family Development Services (FDS) is a premier provider of Head Start programs that enhances the lives of vulnerable children and their families through early childhood education and comprehensive family-focused services. Serving over 2,500 children and infants annually from ten centers in Indianapolis and Noblesville, FDS provides a nurturing environment with curriculum-based education, healthy meals, and emotional support. They aim to equip parents with resources and advocacy to help children realize their potential. FDS fosters community partnerships to further support families and enhance educational opportunities.",1133110261
Family Services of Northeast Wisconsin Inc.,Green Bay,Wisconsin,Organizations,329,Generative AI; All Flash Array,"Family Services is a non-profit, human services agency that protects, heals and cares for the children and families of Northeast Wisconsin. The company offers over 30 programs that support the people of the company's communities during challenges and transitions in their lives. Since 1899, Family Services has assisted individuals and families of all ages and backgrounds. The company's diverse staff provide a full range of professional services in a number of program areas.",356544207
Farmers & Merchants Union Bank,Columbus,Wisconsin,Finance,71,,"Farmers & Merchants Union Bank is a company that operates in the Banking industry. It employs 50to99 people and has 25Mto50M of revenue. The company is headquartered in Columbus, Wisconsin.",43797582
Farmers Fridge,Chicago,Illinois,Hospitality,320,Application Performance; Autonomous Intelligence and Agentic AI,"Founded in 2013, Farmers Fridge is a supply chain company that provides smart fridges to companies, with healthy foods such as salads, sandwiches, granola and more. Farmers Fridge is based in Chicago, Illinois.",347713669
Fas-Pak Inc.,La Porte,Indiana,Manufacturing,149,Generative AI; Environmental Regulations,"Fas Pak Inc is a packaging and containers company based out of Michigan City, Indiana, United States. Fas-Pak, Inc. is committed to providing the highest quality packaging services with quick turnaround times at a competitive price. Our ultimate goal is to build mutually beneficial long-term relationships with our customers based on trust, dependability, and outstanding customer service.",43846950
Fiduciary Real Estate Development Inc.,Milwaukee,Wisconsin,Real Estate,303,End-to-End Encryption,"Fiduciary Real Estate Development, Inc. is a fully integrated real estate investment company that specializes in designing, building, and managing apartment communities. They focus on enhancing living experiences through quality construction and property management. The company aims to enrich communities and make a positive impact while fostering a sense of belonging among its clients. Their services cater to individuals and families seeking quality housing options in various locations.",14254296
Finance Center Federal Credit Union,Indianapolis,Indiana,Finance,125,Enterprise Resource Planning; Capacity Planning,"Financial Center First Credit Union, based in central Indiana, serves nearly 70,000 members by offering financial coaching and guidance for a healthier financial future. They provide a range of services, including loans, credit cards, and financial education, along with attractive promotions to help clients achieve their financial goals. The credit union is committed to fostering confidence in financial management through workshops and resources. They aim to enhance members' financial lives with competitive rates and personalized services.",44764938
Financial Graphic Service Inc.,Chicago,Illinois,Business Services,21,,"Financial Graphic Service Inc is a company that operates in the Multimedia & Graphic Design industry. It employs 20to49 people and has 1Mto5M of revenue. The company is headquartered in Chicago, Illinois.",1174763551
First Bank of Berne,Berne,Indiana,Finance,111,Enterprise Contact Center; Environmental Regulations; Compliance; Big Data Software,"First Bank of Berne offers a range of banking services including personal, business, and agribusiness banking solutions. Their products encompass checking and savings accounts, loans, and financial consulting tailored for individuals, small businesses, and farmers. The bank is FDIC-insured and emphasizes strong relationships with clients, particularly in the agricultural sector. They aim to support their community by providing straightforward banking options and specialized services for various client needs.",33835493
First Capital Inc.,Corydon,Indiana,Finance,216,Amazon Web Services (AWS),"First Capital, Inc., a federally-chartered savings bank, operates as the bank holding company for First Harrison Bank that provides various banking services to individuals and business customers. The company offers a range of deposit instruments, including non-interest bearing checking accounts, negotiable order of withdrawal accounts, money market accounts, regular savings accounts, certificates of deposit, and retirement savings plans. It also provides real estate mortgage loans, such as fixed-rate and adjustable rate mortgage residential loans, construction loans for residential and commercial properties, and commercial real estate loans, as well as commercial business loans. In addition, the company originates mortgage loans for sale in the secondary market and sells non-deposit investment products; and offers various secured or guaranteed consumer loans comprising automobile and truck loans, home equity loans, home improvement loans, boat loans, mobile home loans, and loans secured by savings deposits, as well as unsecured consumer loans. It provides its products and services through 17 locations in Indiana and Kentucky. First Capital, Inc. was founded in 1891 and is based in Corydon,...",14451402
First Community Bank Of Galena,Apple River,Illinois,Finance,63,Artificial Intelligence,"Apple River State Bank and First Community Bank of Galena is committed to the security of your financial and personal information. All of the company's operational and data processing systems are in a secure environment that protects your account information from being accessed by third parties. The company maintain and grant access to customer information only in accordance with the company's internal security standards. Apple River State Bank and First Community Bank of Galena has and maintains an Information Systems Security Policy. The company's policy will be updated in response to any changes in technology and any external or internal threats to information security. All new contractual relationships and existing or new service provides will include their security and confidentially provisions in all the company's future contracts with these providers. At Apple River State Bank and First Community Bank of Galena, employees' access to personally identifiable customer information is limited to those with a business reason to know such information. Employees are educated on the importance of maintaining the confidentially of customer information and on these privacy principles. The company's employees are trained on the proper disposal of nonpublic information. Any printed material containing customer information will be shredded after its use, computer disks, containing customer information, which are no longer in use will be destroyed. All information on hard drives from personal computers will be erased whenever there is a computer upgrade. Because of the importance of these issues, all Apple River State Bank and First Community Bank of Galena employees are responsible for maintaining the confidentiality of customer information and employees who violate these privacy policies will be subject to disciplinary measures.",7458416
First Harrison Bank,Corydon,Indiana,Finance,216,Amazon Web Services (AWS),"First Capital, Inc., a federally-chartered savings bank, operates as the bank holding company for First Harrison Bank that provides various banking services to individuals and business customers. The company offers a range of deposit instruments, including non-interest bearing checking accounts, negotiable order of withdrawal accounts, money market accounts, regular savings accounts, certificates of deposit, and retirement savings plans. It also provides real estate mortgage loans, such as fixed-rate and adjustable rate mortgage residential loans, construction loans for residential and commercial properties, and commercial real estate loans, as well as commercial business loans. In addition, the company originates mortgage loans for sale in the secondary market and sells non-deposit investment products; and offers various secured or guaranteed consumer loans comprising automobile and truck loans, home equity loans, home improvement loans, boat loans, mobile home loans, and loans secured by savings deposits, as well as unsecured consumer loans. It provides its products and services through 17 locations in Indiana and Kentucky. First Capital, Inc. was founded in 1891 and is based in Corydon,...",14451402
First Illinois Bancorp Inc.,Mendota,Illinois,Finance,287,Enterprise Resource Planning; Environmental Regulations; Capacity Planning,"Founded in 1940, First State Bank is headquartered in Mendota, Illinois. They offer banking services for residents and businesses.",47027335
First Industrial Realty Trust Inc.,Chicago,Illinois,Real Estate,151,Cloud Computing; Generative AI,"Established in 1994, First Industrial Realty Trust is headquartered Chicago, Illinois. They are a fully integrated owner, operator, and developer of industrial real estate.",25626109
First National Bank of Waterloo (inc),Waterloo,Illinois,Finance,165,Environmental Regulations; Energy Storage; Autonomous Intelligence and Agentic AI,"First National Bank of Waterloo offers a wide range of banking products and services, including personal and business checking and savings accounts, loans, and investment services. With 16 banking centers across southern Illinois, they prioritize customer service and community commitment. Their offerings are designed to meet the unique financial needs of individuals and businesses, providing competitive rates and personalized care. The bank has a strong focus on security and education, helping clients navigate financial challenges and protect against fraud.",54382219
First Savings Financial Group Inc.,Jeffersonville,Indiana,Finance,244,Cloud Computing; Amazon Web Services (AWS); Environmental Regulations; Autonomous Intelligence and Agentic AI,"First Savings Financial Group, Inc. operates as the holding company for First Savings Bank, which provides various banking services to individuals and business customers in southern Indiana. It accepts deposits, such as checking accounts, NOW and money market accounts, regular savings accounts, time deposits, and certificates of deposit.",14483895
First State Bank,,,,,,,
First State Bank of Illinois,Macomb,Illinois,Finance,78,,"First State Bank of Western Illinois is a company that operates in the Banking industry. It employs 50to99 people and has 50Mto100M of revenue. The company is headquartered in Macomb, Illinois.",40163242
First State Bank of Middlebury Indiana,Middlebury,Indiana,Finance,111,,"First State Bank is a wholly owned subsidiary of the Crystal Valley Financial Corporation and is a locally owned, independent community bank providing consumer, agricultural, business and commercial financial services since 1910. In recent years the corporation has expanded Asset Wealth Management Services through the Trust/Wealth Management Department. The bank is headquartered in Middlebury, Indiana. The company's mission statement is as follows: The mission of the First State Bank is to be a stable independent community bank that offers the highest quality products and services to its customers. First State Bank will focus on developing and retaining the highest quality people to deliver long-term sustainable earnings, a strong capital base and increasing shareholder value.",44307585
First State Bank of Monticello,,,,,,,
First State Financial Corp.,,,,,,,
FitzMark Logistics,,,,,,,
Flaherty & Collins Inc.,Indianapolis,Indiana,Real Estate,459,Generative AI; Fraud Protection; Environmental Regulations,"Since 1993, Flaherty & Collins Properties has managed 30 multi-family properties for receivership, totaling over 7,000 units in Indiana, Illinois, Iowa, Michigan and Ohio. We also managed five office buildings totaling, 180,000 square feet; four industrial buildings totaling 1.5 million square feet; and one 150-unit hotel. Receivership periods of these properties range from six months to three years. Our goals of receivership include: keeping all parties informed of activities occurring at the property; file all required reports with the court; protect and preserve the asset; and maximize the monthly net operating income. As the management company for your property, Flaherty & Collins Properties will provide all the services that our owned and fee managed properties receive from the accounting, compliance, IT and marketing departments.",14615222
Foresight Financial Group,Winnebago,Illinois,Holding Companies & Conglomerates,273,Generative AI; Energy Storage; Autonomous Intelligence and Agentic AI,"Foresight Financial Group, Inc. is the largest bank holding company in Winnebago County, Illinois, with total assets of $1.63 billion. It serves as the parent company of Foresight Bank, which was formed through the consolidation of six community banks, maintaining their local identities while providing unified services. The company is dedicated to enhancing shareholder value and financial security for its customers, while also focusing on the welfare of employees and local communities. Foresight Financial aims to expand sensibly into new markets that align with its community banking philosophy.",46467567
Fort Financial Federal Credit Union,Fort Wayne,Indiana,Finance,5,,"Fort Financial Federal Credit Union is a company that operates in the Banking industry. It employs 5to9 people and has 1Mto5M of revenue. The company is headquartered in Fort Wayne, Indiana.",1257771801
Fort Wayne Country Club,Fort Wayne,Indiana,Hospitality,74,,"Fort Wayne Country Club, established in 1908, offers a range of social, athletic, and family activities set against the backdrop of a beautiful golf course. The club features dining with creative seasonal menus, golf facilities for players of all ages, and the only private winter tennis and pickleball facility in Northeast Indiana. Membership provides access to relaxed dining, social events, and various sports activities including swimming. The club aims to create a welcoming environment for families and friends to enjoy leisure and recreation.",78251894
Fort Wayne Metals Research Products Corp.,,,,,,,
Fortress Bank,Peoria,Illinois,Finance,222,,"Fortress Bank offers comprehensive financial solutions for both personal and business needs across its nine banking centers in Illinois and Iowa. The bank provides services including personal checking accounts, consumer loans, and a range of business banking options such as commercial real estate financing and agricultural loans. Fortress Bank also features innovative programs like the Bank Tank Contest, allowing businesses to pitch ideas for funding, and a Business Club for entrepreneurial networking. With a commitment to supporting the community, Fortress Bank is dedicated to helping clients navigate their financial journeys and achieve their goals.",435485159
Forward Service Corp.,Madison,Wisconsin,Business Services,312,App Analytics Companies; Generative AI; Data Center Migration; Autonomous Intelligence and Agentic AI,"Forward Service Corporation is dedicated to helping individuals achieve their career goals by providing supportive services such as transportation, education, and cash assistance. They focus on overcoming obstacles to meaningful employment and aim to connect clients with stable, high-paying careers. Serving job seekers across Wisconsin, they offer personalized career planning and resources to ensure success. Their commitment extends to celebrating client achievements and providing ongoing support throughout the employment journey.",371316853
Four Imprint Inc.,,,,,,,
Fraley & Schilling Inc.,Rushville,Indiana,Transportation,378,Environmental Regulations; Advanced Threat Protection (ATP),"Since 1955, Fraley & Schilling has consistently focused on continuous improvement to not only provide a great service, but to give the best of the best drivers the opportunity to join a company on the ""cutting edge"". With that in mind, we exclusively recruit and employ a driver support staff who are not only trained professionals, but also have a genuine appreciation for the life and challenges that are put in front of drivers everyday.",547322914
Franciscan Ministries,Lemont,Illinois,Healthcare Services,1987,App Analytics Companies; Generative AI,"Franciscan Ministries is a nonprofit Catholic system offering senior living, healthcare and community-based services. Franciscan Ministries provides home-and-community based healthcare services to support families and their loved ones, in addition to third-party management services through Franciscan Advisory Services. Additionally, the Ministry supports young, at-risk women seeking a Catholic, secondary education, and operates a family violence prevention center and shelter.",48828529
Franciscan Sister of Chicago,Crown Point,Indiana,Organizations,13,,"Franciscan Sister of Chicago is a company that operates in the Religious Organizations industry. It employs 10to19 people and has 1Mto5M of revenue. The company is headquartered in Crown Point, Indiana.",1293711970
Fresh Warehousing,Centreville,Illinois,Software,22,,"Plesk offers a simple and secure web server management platform designed for web professionals. It provides comprehensive tools for managing web, DNS, mail, and other services through a user-friendly interface. The platform supports both traditional and cloud hosting, enabling intelligent management of servers, applications, and websites. Additionally, Plesk offers solutions like WP Guardian for monitoring and protecting WordPress sites.",15205264
G&D Transportation Inc.,,,,,,,
GEM Realty Capital Inc.,Chicago,Illinois,Finance,68,Generative AI,"GEM Realty Capital is a real estate investment firm based in Chicago, specializing in both private and public market opportunities. Founded in 1994, the firm invests across the U.S. real estate ecosystem through its platforms: GEM Realty Properties, GEM Realty Securities, and GEM Realty Tactical Opportunities. With a focus on fundamental real estate analysis, GEM Realty Capital aims to identify compelling investment opportunities while navigating economic uncertainties. The company fosters an inclusive culture that promotes innovation and collaboration among its team of professionals.",56346876
Gene B Glick Co,Indianapolis,Indiana,Real Estate,630,Generative AI; Environmental Regulations; Energy Storage,"Gene B. Glick Company, founded in 1947 and headquartered in Indianapolis, Indiana, is privately-held real estate ownership, development, and management firm. The company focuses on leadership in customer service, property management, and construction of affordable and market-rate apartment units.",41997610
Gene Glick Management Co Inc.,Indianapolis,Indiana,Real Estate,20,,"Gene Glick Management Corp is a company that operates in the Real Estate industry. It employs 20to49 people and has 5Mto10M of revenue. The company is headquartered in Indianapolis, Indiana.",93390466
General Sheet Metal Works Inc.,,,,,,,
Glenview Terrace Nursing Center,Glenview,Illinois,Healthcare Services,381,,"Glenview Terrace provides comprehensive rehabilitation services aimed at facilitating swift recovery and seamless transitions for patients returning to their daily lives. Their offerings include specialized programs for orthopedic, cardiac, pulmonary, and post-transplant care, as well as individualized stroke rehabilitation and memory care. The facility is designed for both short-term and longer stays, ensuring a comfortable environment with personalized one-on-one therapy from highly skilled therapists. Glenview Terrace is dedicated to delivering exceptional care and support, making it a recommended choice for individuals in need of rehabilitation services.",49153861
Globetrotters Engineering Corp.,Chicago,Illinois,Construction,161,Cloud Computing; Energy Storage; File Servers; Artificial Intelligence,"Globetrotters is a Chicago-based architectural engineering firm that has been serving both public and private sectors since 1974, specializing in design, management, and consulting. The firm offers a wide range of services including architecture, engineering, construction management, facility management, property management, and IT services. With a team of over 200 experienced professionals, Globetrotters is dedicated to delivering cost-effective and sustainable infrastructure projects that contribute to community development. Their expertise spans various sectors such as transportation, aviation, healthcare, education, and telecommunications.",60819200
Goellner Inc.,,,Manufacturing,409,,Goellner Inc is a company that operates in the Industrial Machinery & Equipment industry. It employs 250to499 people and has 25Mto50M of revenue. The company is headquartered in the United States.,116065747
Gonnella Baking Co,Schaumburg,Illinois,Manufacturing,542,Generative AI,"Founded in 1886, Gonnella Baking manufactures bakery products. The company offers breads, dough, rolls, buns, bagels, breadsticks, and biscuits. The company is headquartered in Schaumburg, Illinois.",68833182
Gonnella Frozen Products LLC,Schaumburg,Illinois,Retail,21,,"Gonnella Frozen Products LLC is a company that operates in the Grocery Retail industry. It employs 20to49 people and has 500Kto1M of revenue. The company is headquartered in Schaumburg, Illinois.",1315885898
Goodheart-Willcox Co Inc.,Tinley Park,Illinois,Media & Internet,63,,"Goodheart-Willcox is a U.S.-based educational publisher specializing in print and digital instructional materials for Career and Technical Education (CTE), health, and physical education. The company collaborates with educators, authors, and industry experts to develop standards-based content and digital learning solutions designed to prepare students for careers and life skills. Its offerings include textbooks, online courseware, and supplemental teaching tools tailored for schools and training institutions.",21742738
Goodheart-Willcox Publisher Inc.,Tinley Park,Illinois,Media & Internet,63,,"Goodheart-Willcox is a U.S.-based educational publisher specializing in print and digital instructional materials for Career and Technical Education (CTE), health, and physical education. The company collaborates with educators, authors, and industry experts to develop standards-based content and digital learning solutions designed to prepare students for careers and life skills. Its offerings include textbooks, online courseware, and supplemental teaching tools tailored for schools and training institutions.",21742738
Gordon Flesch Company Inc.,Madison,Wisconsin,Retail,650,App Analytics Companies; Generative AI; Environmental Regulations; Energy Storage; Advanced Analytics; Data Center Migration; Artificial Intelligence,"Founded in 1956, Gordon Flesch is a family-owned provider of office technology solutions such as Multifunction Devices & Copiers, Printers, Scanners, Production Print, Large-Format Printers, and Interactive Displays. The company is headquartered in Madison, Wisconsin.",16417320
Gorman & Company Inc.,Oregon,Wisconsin,Business Services,400,Cloud Computing; Cloud Storage; Generative AI; Cloud Data; Environmental Regulations; Autonomous Intelligence and Agentic AI; Digital Transformation; Dropbox,"Gorman & Company operates at the intersection of community development and strategic planning, working directly with municipal governments and grassroots organizations to advance comprehensive community initiatives. The firm brings specialized expertise in translating complex development objectives into actionable strategies that address the multifaceted needs of communities seeking sustainable growth and improved quality of life. The company's approach integrates economic development planning, social infrastructure assessment, and long-term community visioning. By collaborating closely with local stakeholders, Gorman & Company identifies opportunities for strategic investment and policy development that align with each community's unique priorities and constraints. This collaborative methodology ensures that recommendations reflect both technical best practices and the lived experiences of residents and local leaders. Gorman & Company provides comprehensive consulting services spanning feasibility analysis, strategic planning frameworks, economic impact assessment, and implementation roadmaps. The firm's work encompasses downtown revitalization initiatives, workforce development strategies, housing policy analysis, and community engagement processes. By combining data-driven analysis with stakeholder input, the company helps communities navigate complex development challenges while building consensus around shared goals.",48467152
Graef-USA Inc.,Milwaukee,Wisconsin,Construction,273,Environmental Regulations; Advanced Analytics; Advanced Threat Protection (ATP); Artificial Intelligence,"GRAEF Company is a full service engineering, planning, and design firm providing engineering and design solutions for clients. The company was founded in 1961 and is headquartered in Milwaukee, Wisconsin.",29083530
Grant Regional Health Center,Lancaster,Wisconsin,Hospitals & Physicians Clinics,316,Cloud Computing,"Grant Regional Health Center has been providing healthcare services to Lancaster and surrounding communities since 1955. The center offers a range of medical services, including specialty care, community clinics, and mental health resources. Their intended clients include local residents seeking comprehensive medical care and support. The organization is committed to community health and actively engages in events and initiatives to enhance healthcare access and quality.",51711331
Grassland Dairy Products Inc.,Greenwood,Wisconsin,Manufacturing,724,Cloud Computing,"Grassland, headquartered in Greenwood, Wisconsin, is a dairy products manufacturing company specializing in fluid milk, butter, and dry milk ingredients.",26511280
Greater Green Bay YMCA,,,Organizations,21,,Greater Green Bay Ymca Inc is a company that operates in the Membership Organizations industry. It employs 20to49 people and has 1Mto5M of revenue.,1341716577
Greenfield Bancshares Inc.,Greenfield,Tennessee,Finance,18,Data Center Migration,"Greenfield Banking Company offers a range of banking services including personal and business checking accounts, savings accounts, and various loan options such as vehicle, personal, mortgage, commercial, and agriculture loans. They provide innovative products like Kasasa Checking and Savings, which offer cash back and high interest on balances. The company aims to match individual lifestyles with suitable banking solutions while continuously seeking to improve customer service and reduce borrowing costs. Their intended clients include individuals and businesses looking for comprehensive banking solutions tailored to their needs.",16728616
Grohe America Inc.,Piscataway,New Jersey,Manufacturing,384,,"Need Help Finding a Product? GROHE is a leading global brand for complete bathroom solutions and kitchen fittings and a global brand, dedicated to providing innovative water products. For many decades, GROHE has been committed to the brand values of technology, quality, design and sustainability that all illustrate GROHEs commitment to creating exceptional experiences and to delivering Pure Freude an Wasser. With its engineering, innovation and design activities firmly anchored in Germany, GROHE products bear the badge of quality Made in Germany, ultimately strengthening the customers confidence in the brand. All plants of the GROHE manufacturing network make use of high-precision production engineering to ensure compliance with consistently high GROHE standards. This way GROHE ensures that its products live up to the most uncompromising demands in terms of workmanship and functionality. Over the past ten years alone, the success of GROHE has been confirmed by more than 240 design and innovation awards as well as a top three placement among Germanys most sustainable major companies of 2015. Numerous high-profile projects around the globe are fitted with GROHE products, testifying to architects, designers and developers preference for the brand. In 2014, GROHE became part of LIXIL, maker of pioneering water and housing products that solve everyday, real-life challenges, making better homes a reality for everyone, everywhere. We do this through meaningful design, an entrepreneurial spirit, and responsible business growth. The LIXIL approach comes to life through industry leading brands, including GROHE, American Standard, DXV, INAX and TOSTEM.",1129308140
GS GLOBAL RESOURCES,Mukwonago,Wisconsin,Manufacturing,100,Enterprise Resource Planning,"GS Global Resources specializes in creating custom hydraulics, electronic controls, and operator cabs for on and off highway OEMs. Their extensive product offerings include joysticks, motors, pumps, and various hydraulic solutions designed for diverse industries such as agriculture, construction, and military. The company focuses on delivering integrated applications solutions that enhance machine performance and operator control in challenging environments. With a commitment to innovation and customer collaboration, GS Global Resources supports clients from initial design through to final production.",30640249
Gsf Mortgage Corp.,Brookfield,Wisconsin,Finance,243,,"Discover competitive rates and discounts. GSF Mortgage is a full-service lender with a focus on Home Purchase, Refinance, Construction, and Renovation loans.",16859197
Gsf Usa Inc.,Indianapolis,Indiana,Business Services,1250,Generative AI; Environmental Regulations,"GSF is a France based company that specializes in providing hygiene, cleanliness, and associated products & services.",51448346
H. O. Wolding Inc.,,,Business Services,12,,H O Wolding Inc is a company that operates in the Information & Document Management industry. It employs 10to19 people and has 1Mto5M of revenue.,1308873059
Hall Render Killian Heath & Lyman PC,Indianapolis,Indiana,Law Firms & Legal Services,333,App Analytics Companies; End-to-End Encryption; Enterprise Resource Planning; Autonomous Intelligence and Agentic AI,"Founded in 1984, Hall Render operates as a law firm specializing in healthcare-focused cases. They provide services to large and small business entities from a wide variety of industries inclusive of nonprofit organizations, private individuals, and major healthcare providers. Headquartered in Indianapolis, IN with offices throughout the US.",53251534
